14,1787,0,0,0,2,1,0,0,0,10,0,0,1,2
15,1,1387,0,0,7,0,0,0,0,2,0,0,3,0
6,2,0,3642,0,14,3,0,1,0,11,7,6,7,30
24,2,3,1,5002,0,1,0,1,0,15,0,0,2,96
19,0,0,3,0,3246,3,1,0,0,40,0,2,17,28
32,0,0,21,0,145,6567,15,7,0,58,8,7,72,566
29,0,0,1,0,4,217,5458,496,1,11,8,3,9,212
30,0,0,1,0,22,411,369,13895,2,49,110,71,57,1471
28,0,0,8,0,97,192,21,21,3211,50,27,7,83,310
21,1,0,9,5,219,10,0,2,0,45794,1,1,27780,163
31,0,0,43,0,4,16,8,42,5,13,2344,1184,9,159
10,0,0,281,0,0,2,1,0,0,5,5,71,1,42
5,0,0,0,0,1,2,0,1,0,175,0,7,390,2099
27,0,0,1,0,3,18,100,154,5,7,3,2,20,314
25,0,0,3,82,2,20,1,1,0,14,2,5,15,1325
23,0,0,0,257,1,0,0,0,0,0,0,0,0,0
18,1,0,0,0,784,0,0,0,0,22,0,1,24,1
17,0,0,0,0,304,1,0,0,34,17,0,0,0,8
16,611,0,0,0,636,0,0,0,0,102,0,0,3,7
12,0,0,20,1,14,67,2,6,1,77,8,24,79,14601
11,0,0,617,0,6,3,0,0,0,4,5,33,3,15
9,0,0,8,9,2,13,0,0,0,30,4,4,31,1921
8,0,0,0,8,5,9,1,2,0,8,11,13,16,1008
7,0,0,44,1,1,5,0,0,0,8,7,19,12,1374
4,0,0,221,0,3,3,0,1,0,6,1,6,10,118
0,42,75,469,162,716,4927,117,206,40,3587,830,1818,2855,0
0,21,8,2,6,23,12,16,11,14,7,15,18,22,0
